marketplace,pid,url,title,option_text,tier,duration,delivery,price_rub,strong_signal,glitched,glitch_reason,source,llm_evidence
plati,5781619,https://plati.market/itm/5781619,Plati.Market — площадка цифровых товаров,FLAT,GO,unknown,unknown,241.0,True,True,LLM price 241 not found in collected evidence (possible hallucination),llm,ChatGPT 5.6 PLUS | PRO X20| GO | CODEX 1 М ПОДПИСКА / ПРОДЛЕНИЕ / ЧАТ ГПТ
plati,5857702,https://plati.market/itm/5857702,Купить CHAT GPT PLUS 5.6/ 1 месяц/ готовый аккаунт,FLAT,Plus,1m,new_account,983.0,True,False,,llm,init_strong[0] = 983. Title mentions PLUS/1 месяц/готовый аккаунт.
plati,5986080,https://plati.market/itm/5986080,Купить ChatGPT Plus 1 месяц | Приватный новый аккаунт | GPT-5.6 | Глобальный,FLAT,Plus,1m,new_account,1167.0,True,False,,llm,init_strong: 1167 RUB. Title/Desc suggest Plus for 1 month.
plati,4695121,https://plati.market/itm/4695121,Купить ChatGPT 5 GO PLUS PRO Чат ГПТ БЫСТРО 1 мес,Подписка GO 1 месяц,GO,1m,own_account,990.0,True,False,,llm,Option 'Подписка GO 1 месяц' with strong price 990.
plati,4695121,https://plati.market/itm/4695121,Купить ChatGPT 5 GO PLUS PRO Чат ГПТ БЫСТРО 1 мес,Подписка PLUS 1 месяц,Plus,1m,own_account,2490.0,True,False,,llm,Option 'Подписка PLUS 1 месяц' with strong price 2490.
plati,4695121,https://plati.market/itm/4695121,Купить ChatGPT 5 GO PLUS PRO Чат ГПТ БЫСТРО 1 мес,Подписка PRO x5 1 месяц,Pro 5X,1m,own_account,9990.0,True,False,,llm,Option 'Подписка PRO x5 1 месяц' with strong price 9990.
plati,4695121,https://plati.market/itm/4695121,Купить ChatGPT 5 GO PLUS PRO Чат ГПТ БЫСТРО 1 мес,Подписка PRO x20 1 месяц,Pro 20X,1m,own_account,19990.0,True,False,,llm,Option 'Подписка PRO x20 1 месяц' with strong price 19990.
plati,5947444,https://plati.market/itm/5947444,Купить [24/7] | CHATGPT PLUS | GPT-5.6 Sol | 1 МЕСЯЦ | ЛИЧНЫЙ АККАУНТ | OPENAI,FLAT,Plus,1m,own_account,1228.0,True,False,,llm,init_strong: 1228 RUB
plati,5990295,https://plati.market/itm/5990295,Купить ChatGPT GO-PLUS-PRO ОПЛАТА ПОДПИСКИ 1 МЕСЯЦ ЧАТ ГПТ SORA ПОДПИСКА ПРОДЛЕНИЕ БЕЗ ВХОДА,GPT GO,GO,1m,own_account,1133.0,True,False,,llm,Option 'GPT GO' with strong price 1133.
plati,5990295,https://plati.market/itm/5990295,Купить ChatGPT GO-PLUS-PRO ОПЛАТА ПОДПИСКИ 1 МЕСЯЦ ЧАТ ГПТ SORA ПОДПИСКА ПРОДЛЕНИЕ БЕЗ ВХОДА,GPT PLUS,Plus,1m,own_account,2787.0,True,False,,llm,Option 'GPT PLUS' with strong price 2787.
plati,5990295,https://plati.market/itm/5990295,Купить ChatGPT GO-PLUS-PRO ОПЛАТА ПОДПИСКИ 1 МЕСЯЦ ЧАТ ГПТ SORA ПОДПИСКА ПРОДЛЕНИЕ БЕЗ ВХОДА,GPT PRO,Pro,1m,own_account,13237.0,True,False,,llm,Option 'GPT PRO' with strong price 13237.
plati,4371645,https://plati.market/itm/4371645,Купить 1 МЕСЯЦ ChatGPT 5.6 [GO/PLUS/PRO] БЕЗ ВХОДА ПОДПИСКА,"ChatGPT GO - 1 месяц (5.6)
Выбран",GO,1m,unknown,799.0,True,False,,llm,Option strong price: 799
